epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93210,0.94014,1.16826,1.34755,0.59346,0.56395,0.57763,0.40185,1.07511,1.29711,1.42626,0.000660045,0.000660045,0.000660045
43,94979,0.93666,1.15766,1.3489,0.59237,0.56841,0.56395,0.39361,1.07855,1.25513,1.43484,0.000649046,0.000649046,0.000649046
44,97634.6,0.93366,1.14722,1.34525,0.58503,0.57636,0.568,0.39253,1.08135,1.25687,1.43367,0.000638047,0.000638047,0.000638047
45,100523,0.9211,1.13637,1.33975,0.62558,0.57326,0.58982,0.41193,1.07887,1.19547,1.43111,0.000627048,0.000627048,0.000627048
46,102749,0.93082,1.14121,1.3471,0.60882,0.56972,0.58823,0.41402,1.07778,1.2399,1.42952,0.000616049,0.000616049,0.000616049
47,104073,0.93565,1.13838,1.34441,0.61154,0.56566,0.5853,0.41233,1.0634,1.23843,1.41536,0.000605051,0.000605051,0.000605051
48,106152,0.92452,1.12343,1.34554,0.59286,0.56898,0.58343,0.40944,1.07381,1.24989,1.42272,0.000594052,0.000594052,0.000594052
49,108327,0.92422,1.12209,1.33815,0.59854,0.55925,0.58377,0.40542,1.07961,1.24738,1.42829,0.000583053,0.000583053,0.000583053
50,112032,0.93248,1.12109,1.34004,0.59656,0.57934,0.58335,0.40577,1.07076,1.24457,1.42654,0.000572054,0.000572054,0.000572054
51,113665,0.91352,1.10725,1.3271,0.60838,0.57695,0.57536,0.40646,1.05603,1.23827,1.41448,0.000561055,0.000561055,0.000561055
52,115847,0.90708,1.09179,1.32384,0.59942,0.56512,0.58446,0.40893,1.05524,1.22748,1.41541,0.000550056,0.000550056,0.000550056
53,117225,0.9035,1.09071,1.31985,0.61047,0.57559,0.59032,0.41346,1.06051,1.20173,1.41294,0.000539057,0.000539057,0.000539057
54,118960,0.91477,1.07762,1.32538,0.62841,0.57768,0.59112,0.41528,1.0633,1.20228,1.41688,0.000528058,0.000528058,0.000528058
55,120801,0.90026,1.07999,1.31817,0.61416,0.58299,0.59158,0.41411,1.06306,1.19947,1.41316,0.000517059,0.000517059,0.000517059
56,123769,0.90125,1.0836,1.32457,0.60213,0.56102,0.5841,0.41165,1.06364,1.22466,1.4124,0.00050606,0.00050606,0.00050606
57,125703,0.89224,1.06699,1.30926,0.62824,0.57385,0.60188,0.42188,1.05618,1.20765,1.40367,0.000495062,0.000495062,0.000495062
58,128285,0.88165,1.05148,1.3094,0.60955,0.5703,0.5851,0.41057,1.05339,1.20522,1.41404,0.000484063,0.000484063,0.000484063
59,130316,0.89977,1.0632,1.31471,0.60007,0.58239,0.59196,0.41514,1.06063,1.20741,1.4188,0.000473064,0.000473064,0.000473064
60,132893,0.89039,1.04933,1.3104,0.61757,0.57551,0.5832,0.41199,1.04629,1.20086,1.40866,0.000462065,0.000462065,0.000462065
61,135774,0.87368,1.02019,1.29574,0.61926,0.57903,0.59189,0.41849,1.05378,1.2013,1.40948,0.000451066,0.000451066,0.000451066
62,138644,0.87928,1.03276,1.30288,0.60869,0.59134,0.60513,0.42965,1.04228,1.1646,1.38811,0.000440067,0.000440067,0.000440067
63,140787,0.87292,1.02504,1.30019,0.60468,0.58462,0.5946,0.42408,1.05563,1.20572,1.42394,0.000429068,0.000429068,0.000429068
64,142847,0.87046,1.01554,1.29487,0.63181,0.57461,0.6,0.4263,1.02644,1.16523,1.39095,0.000418069,0.000418069,0.000418069
65,145470,0.8743,1.01011,1.29084,0.61318,0.581,0.59761,0.42289,1.04928,1.17289,1.39894,0.00040707,0.00040707,0.00040707
66,148446,0.87547,1.02474,1.29235,0.60252,0.58301,0.59418,0.42506,1.04541,1.18124,1.40031,0.000396071,0.000396071,0.000396071
67,150597,0.87044,1.0202,1.29179,0.62347,0.58306,0.60579,0.43137,1.03974,1.18627,1.3947,0.000385073,0.000385073,0.000385073
68,152136,0.8652,1.01694,1.29945,0.62098,0.59284,0.60975,0.433,1.03917,1.17488,1.39823,0.000374074,0.000374074,0.000374074
69,154388,0.86303,0.99941,1.2834,0.60874,0.59409,0.5937,0.42104,1.03555,1.18296,1.39809,0.000363075,0.000363075,0.000363075
70,156055,0.84905,0.97864,1.27877,0.62347,0.59232,0.604,0.42871,1.02975,1.17042,1.38451,0.000352076,0.000352076,0.000352076
71,157340,0.84918,0.98462,1.27947,0.61727,0.59395,0.60217,0.42862,1.03421,1.17084,1.3916,0.000341077,0.000341077,0.000341077
72,159047,0.85244,0.98616,1.28164,0.59269,0.60087,0.5902,0.41716,1.03349,1.184,1.39306,0.000330078,0.000330078,0.000330078
73,160882,0.8531,0.99245,1.28158,0.62443,0.59011,0.60614,0.43136,1.02321,1.16631,1.38775,0.000319079,0.000319079,0.000319079
74,163886,0.84334,0.97481,1.27504,0.62175,0.58459,0.59991,0.42757,1.02671,1.18034,1.38983,0.00030808,0.00030808,0.00030808
75,165592,0.84471,0.97129,1.27536,0.61371,0.60447,0.61078,0.43202,1.03317,1.17248,1.38737,0.000297081,0.000297081,0.000297081
76,167990,0.83941,0.96755,1.27335,0.61105,0.60235,0.60041,0.42575,1.04005,1.18806,1.39451,0.000286083,0.000286083,0.000286083
77,170212,0.83954,0.95821,1.26823,0.65179,0.58484,0.60447,0.42781,1.02926,1.17444,1.38779,0.000275084,0.000275084,0.000275084
78,172910,0.83815,0.94899,1.26608,0.62874,0.58978,0.60818,0.43254,1.02533,1.17768,1.38191,0.000264085,0.000264085,0.000264085
79,174588,0.82302,0.96452,1.27261,0.60087,0.58985,0.59324,0.428,1.02113,1.19047,1.38128,0.000253086,0.000253086,0.000253086
80,175943,0.84657,0.95925,1.26847,0.62785,0.58846,0.59734,0.43074,1.0148,1.17206,1.37258,0.000242087,0.000242087,0.000242087
81,177953,0.82527,0.93958,1.25642,0.60972,0.59919,0.59986,0.42667,1.03067,1.18584,1.39371,0.000231088,0.000231088,0.000231088
82,180884,0.82361,0.92405,1.25075,0.61387,0.60496,0.60477,0.4324,1.02575,1.17523,1.39776,0.000220089,0.000220089,0.000220089
83,182214,0.82727,0.93959,1.25948,0.62379,0.59861,0.61214,0.43466,1.02808,1.16457,1.39257,0.00020909,0.00020909,0.00020909
84,184392,0.82066,0.92182,1.24988,0.62499,0.60083,0.60724,0.43256,1.02627,1.16488,1.39029,0.000198091,0.000198091,0.000198091
85,186480,0.81818,0.91615,1.25794,0.62721,0.59653,0.6033,0.43173,1.02352,1.16743,1.38998,0.000187092,0.000187092,0.000187092
86,189530,0.81336,0.92138,1.24892,0.62623,0.59164,0.60312,0.43186,1.02587,1.18556,1.39207,0.000176094,0.000176094,0.000176094
87,191647,0.82313,0.92382,1.24931,0.61473,0.61231,0.61347,0.43773,1.02183,1.1621,1.38901,0.000165095,0.000165095,0.000165095
88,194072,0.81285,0.91426,1.24965,0.6247,0.60065,0.61302,0.43754,1.01671,1.15945,1.37502,0.000154096,0.000154096,0.000154096
89,196663,0.80922,0.91426,1.25629,0.61745,0.6193,0.61443,0.4383,1.01713,1.15121,1.38098,0.000143097,0.000143097,0.000143097
90,199802,0.80109,0.89181,1.23844,0.62102,0.60616,0.61096,0.43581,1.01569,1.15089,1.38306,0.000132098,0.000132098,0.000132098
91,201249,0.86215,0.92471,1.306,0.61724,0.60336,0.60389,0.43185,1.02256,1.16171,1.39273,0.000121099,0.000121099,0.000121099
92,203135,0.84526,0.8951,1.2905,0.6304,0.59505,0.60254,0.43268,1.00906,1.15654,1.38249,0.0001101,0.0001101,0.0001101
93,205540,0.84165,0.89775,1.28858,0.63561,0.5942,0.60611,0.43577,1.01503,1.16033,1.38154,9.91012e-05,9.91012e-05,9.91012e-05
94,209024,0.82948,0.88075,1.28125,0.62853,0.60282,0.60982,0.44029,1.00839,1.15163,1.37524,8.81023e-05,8.81023e-05,8.81023e-05
95,211623,0.82865,0.87091,1.27928,0.63082,0.59489,0.60725,0.43746,1.0097,1.15608,1.38022,7.71034e-05,7.71034e-05,7.71034e-05
96,214095,0.81995,0.86318,1.27628,0.6393,0.58747,0.60509,0.43461,1.01051,1.16078,1.38315,6.61045e-05,6.61045e-05,6.61045e-05
97,215521,0.82112,0.86206,1.27126,0.63282,0.58954,0.60483,0.43562,1.00746,1.16416,1.38098,5.51056e-05,5.51056e-05,5.51056e-05
98,217626,0.81847,0.86424,1.27517,0.62976,0.5943,0.60831,0.43749,1.00608,1.15365,1.37804,4.41067e-05,4.41067e-05,4.41067e-05
99,218992,0.81679,0.84464,1.27383,0.63397,0.59918,0.60952,0.43991,1.00233,1.15344,1.37523,3.31078e-05,3.31078e-05,3.31078e-05
100,220491,0.81109,0.84576,1.26859,0.63407,0.59215,0.60877,0.43913,1.00367,1.1542,1.37741,2.21089e-05,2.21089e-05,2.21089e-05
