epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1164.73,0.4173,2.22887,1.05078,0.76241,0.503,0.49527,0.47992,0.45266,1.15015,0.55281,0.000333122,0.000333122,0.000333122
2,2340.61,0.37134,1.66126,1.01566,0.80656,0.49674,0.57137,0.53491,0.43285,1.08713,0.5312,0.00065326,0.00065326,0.00065326
3,3500.67,0.35751,1.56011,1.00548,0.73554,0.45144,0.51865,0.49166,0.32466,1.38319,0.40694,0.000960197,0.000960197,0.000960197
4,4669.1,0.33667,1.50363,1.00088,0.68579,0.65289,0.68882,0.64074,0.42458,0.78719,0.45969,0.0009406,0.0009406,0.0009406
5,5827.37,0.31785,1.43314,0.99328,0.58824,0.67211,0.6763,0.6533,0.25133,0.89411,0.29548,0.0009208,0.0009208,0.0009208
6,6990.61,0.29832,1.38875,0.98361,0.67233,0.6849,0.73699,0.72005,0.25273,0.90906,0.29804,0.000901,0.000901,0.000901
7,8148.41,0.2892,1.34262,0.98226,0.62992,0.68384,0.71871,0.69107,0.23378,0.86702,0.24691,0.0008812,0.0008812,0.0008812
8,9317.03,0.28285,1.33817,0.98102,0.68596,0.64482,0.68302,0.64165,0.29226,0.97222,0.30774,0.0008614,0.0008614,0.0008614
9,10473.3,0.27462,1.29904,0.97671,0.81615,0.62792,0.73426,0.7231,0.23371,0.80773,0.26567,0.0008416,0.0008416,0.0008416
10,11628.2,0.26691,1.26848,0.9737,0.63975,0.68719,0.70345,0.69148,0.16221,0.84885,0.219,0.0008218,0.0008218,0.0008218
11,12785.4,0.2632,1.2594,0.97208,0.75633,0.68438,0.74641,0.74216,0.18884,0.80326,0.21977,0.000802,0.000802,0.000802
12,13954.8,0.25697,1.23891,0.97222,0.75648,0.67601,0.77368,0.76747,0.17156,0.71639,0.21158,0.0007822,0.0007822,0.0007822
13,15114.7,0.25313,1.22476,0.9696,0.67651,0.73714,0.75611,0.74215,0.25405,0.72996,0.27768,0.0007624,0.0007624,0.0007624
14,16266.7,0.2489,1.20009,0.96721,0.66365,0.81311,0.79593,0.77796,0.24228,0.68883,0.27398,0.0007426,0.0007426,0.0007426
15,17429.2,0.24535,1.18368,0.96709,0.71205,0.7961,0.82162,0.80422,0.22599,0.63814,0.26041,0.0007228,0.0007228,0.0007228
16,18583.1,0.24161,1.1767,0.96451,0.78105,0.74093,0.81872,0.79226,0.25294,0.69147,0.28004,0.000703,0.000703,0.000703
