epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15789,0.22312,1.06831,0.96862,0.75112,0.81387,0.86883,0.84144,0.29825,0.59773,0.42339,0.005842,0.005842,0.005842
44,16154.8,0.22381,1.06275,0.97086,0.75313,0.83697,0.87731,0.86316,0.27538,0.59795,0.40628,0.005743,0.005743,0.005743
45,16520.6,0.22154,1.06018,0.9694,0.82983,0.81233,0.88297,0.85792,0.24685,0.5524,0.36406,0.005644,0.005644,0.005644
46,16887.4,0.21942,1.06109,0.96846,0.75377,0.84267,0.87273,0.84509,0.2802,0.60063,0.39314,0.005545,0.005545,0.005545
47,17254.3,0.21892,1.05619,0.96787,0.85048,0.76549,0.87423,0.85472,0.22875,0.57631,0.34294,0.005446,0.005446,0.005446
48,17621.9,0.21846,1.04618,0.96851,0.74279,0.8613,0.86715,0.8551,0.22841,0.55174,0.33202,0.005347,0.005347,0.005347
49,17988.6,0.21925,1.04665,0.96766,0.78474,0.84652,0.86668,0.85126,0.21682,0.5231,0.31821,0.005248,0.005248,0.005248
50,18354.6,0.21313,1.04458,0.96647,0.79655,0.85532,0.8798,0.87353,0.21977,0.51341,0.31723,0.005149,0.005149,0.005149
51,18720.4,0.20973,1.02802,0.96373,0.77901,0.859,0.8808,0.87377,0.1876,0.48469,0.2762,0.00505,0.00505,0.00505
52,19086.3,0.20858,1.01992,0.96245,0.82186,0.84645,0.88952,0.87667,0.21214,0.52448,0.30663,0.004951,0.004951,0.004951
53,19453.1,0.20897,1.01929,0.96431,0.78405,0.85078,0.886,0.86705,0.23656,0.55809,0.32443,0.004852,0.004852,0.004852
54,19819.6,inf,1.01561,0.96539,0.81318,0.86802,0.89198,0.87315,0.24411,0.55165,0.32764,0.004753,0.004753,0.004753
55,20186.9,0.21086,1.01284,0.9668,0.85606,0.82466,0.89452,0.88607,0.25207,0.57058,0.34739,0.004654,0.004654,0.004654
56,20553,0.20912,1.01398,0.96418,0.85065,0.8154,0.89624,0.89102,0.24721,0.56731,0.34391,0.004555,0.004555,0.004555
57,20919.3,0.20715,1.01023,0.96567,0.83248,0.83478,0.88884,0.87492,0.26911,0.56962,0.35723,0.004456,0.004456,0.004456
58,21285.6,0.20553,1.00218,0.96378,0.80967,0.84117,0.88901,0.87735,0.26355,0.55904,0.3605,0.004357,0.004357,0.004357
59,21651.7,0.2048,0.99394,0.9638,0.81645,0.83692,0.8858,0.87506,0.25341,0.55942,0.34853,0.004258,0.004258,0.004258
60,22018.2,0.20767,0.99292,0.96539,0.79566,0.83629,0.88565,0.864,0.26891,0.57824,0.359,0.004159,0.004159,0.004159
61,22385.3,0.20306,0.98964,0.95834,0.79347,0.8284,0.87996,0.86016,0.26252,0.58024,0.35493,0.00406,0.00406,0.00406
62,22751.4,0.20397,0.97455,0.96282,0.80854,0.81598,0.87344,0.85661,0.24538,0.57312,0.33455,0.003961,0.003961,0.003961
63,23118.1,0.20102,0.98098,0.96009,0.77012,0.84299,0.87006,0.84616,0.24666,0.57345,0.33286,0.003862,0.003862,0.003862
64,23484.5,0.20127,0.96881,0.96233,0.78347,0.84846,0.87238,0.85525,0.23857,0.56175,0.32418,0.003763,0.003763,0.003763
65,23851.5,0.19679,0.97457,0.96032,0.8194,0.82865,0.87425,0.85343,0.24988,0.58006,0.33052,0.003664,0.003664,0.003664
66,24217.6,0.20151,0.96326,0.96296,0.80858,0.82739,0.87544,0.8508,0.2586,0.59974,0.33287,0.003565,0.003565,0.003565
67,24584.9,0.19738,0.96479,0.95812,0.77957,0.839,0.87706,0.84859,0.27029,0.61889,0.34118,0.003466,0.003466,0.003466
68,24950.8,0.19899,0.95463,0.95988,0.78401,0.83865,0.88015,0.85649,0.26538,0.61061,0.339,0.003367,0.003367,0.003367
69,25317.3,0.1946,0.95209,0.95802,0.78394,0.84505,0.88105,0.85814,0.26634,0.61407,0.33906,0.003268,0.003268,0.003268
70,25684.3,0.19517,0.93952,0.95659,0.77804,0.8577,0.88011,0.85363,0.27292,0.61907,0.34055,0.003169,0.003169,0.003169
71,26050.7,inf,0.94698,0.95777,0.79591,0.8525,0.88239,0.85172,0.27587,0.6164,0.34028,0.00307,0.00307,0.00307
72,26416.1,0.19139,0.93751,0.95563,0.80597,0.84194,0.88484,0.85395,0.27682,0.60705,0.34224,0.002971,0.002971,0.002971
73,26781.8,0.19058,0.94176,0.95653,0.79453,0.84793,0.88693,0.85278,0.28167,0.61321,0.34389,0.002872,0.002872,0.002872
74,27147.4,0.19264,0.92768,0.95745,0.79725,0.84794,0.88899,0.85717,0.27738,0.61366,0.34113,0.002773,0.002773,0.002773
75,27513.4,0.18939,0.929,0.95804,0.79314,0.84825,0.88726,0.85341,0.27888,0.61961,0.34092,0.002674,0.002674,0.002674
76,27879.1,0.18958,0.91871,0.95515,0.79382,0.85302,0.88671,0.85554,0.27716,0.62009,0.3394,0.002575,0.002575,0.002575
77,28244.9,0.1887,0.91555,0.95425,0.79208,0.84505,0.88354,0.85174,0.27984,0.62931,0.33836,0.002476,0.002476,0.002476
78,28610.6,inf,0.9139,0.95483,0.78478,0.84653,0.88064,0.85271,0.27824,0.63338,0.33439,0.002377,0.002377,0.002377
79,28978,0.18769,0.90318,0.95731,0.78073,0.84289,0.88021,0.85332,0.27271,0.63361,0.32891,0.002278,0.002278,0.002278
80,29344.6,0.18579,0.90184,0.95492,0.77577,0.8425,0.87864,0.85017,0.2795,0.63885,0.33333,0.002179,0.002179,0.002179
81,29710.6,0.1824,0.89138,0.95429,0.78166,0.84891,0.87966,0.85099,0.28117,0.63501,0.33527,0.00208,0.00208,0.00208
82,30076.5,0.18663,0.89872,0.95455,0.79613,0.8421,0.88366,0.85453,0.27862,0.63024,0.33482,0.001981,0.001981,0.001981
83,30442.3,0.18203,0.8912,0.95466,0.80849,0.83761,0.88562,0.85589,0.27956,0.62882,0.33653,0.001882,0.001882,0.001882
84,30808.7,inf,0.88204,0.9528,0.81713,0.83294,0.88552,0.85596,0.28182,0.62844,0.33897,0.001783,0.001783,0.001783
85,31174.5,inf,0.88205,0.95651,0.81682,0.83992,0.88512,0.8545,0.28753,0.63194,0.34278,0.001684,0.001684,0.001684
86,31540.7,0.17871,0.8664,0.95209,0.81149,0.84099,0.88397,0.85177,0.29112,0.63797,0.34456,0.001585,0.001585,0.001585
87,31906.7,0.17888,0.86037,0.95305,0.81423,0.83401,0.88143,0.84553,0.29673,0.64977,0.3473,0.001486,0.001486,0.001486
88,32273.2,0.17622,0.86652,0.94908,0.81522,0.82832,0.88006,0.84329,0.30233,0.6599,0.34971,0.001387,0.001387,0.001387
89,32638.9,0.17781,0.86078,0.95257,0.81835,0.81983,0.87939,0.83936,0.30567,0.66803,0.35096,0.001288,0.001288,0.001288
90,33005.2,0.17333,0.8478,0.94786,0.81443,0.82037,0.87678,0.8361,0.30961,0.67653,0.35271,0.001189,0.001189,0.001189
91,33411.3,0.20669,0.87125,0.97888,0.81639,0.82664,0.88025,0.84218,0.29674,0.6546,0.34835,0.00109,0.00109,0.00109
92,33776.6,0.20525,0.83491,0.97756,0.82027,0.82859,0.88335,0.8474,0.28696,0.63617,0.34596,0.000991,0.000991,0.000991
93,34141.9,0.20099,0.81357,0.97783,0.82953,0.8275,0.88634,0.85436,0.28034,0.62228,0.34554,0.000892,0.000892,0.000892
94,34506.3,0.20031,0.8112,0.97451,0.8358,0.82991,0.8888,0.85813,0.27488,0.61,0.34527,0.000793,0.000793,0.000793
95,34871.4,0.19795,0.80036,0.97521,0.83636,0.83121,0.89024,0.86142,0.26834,0.59964,0.34368,0.000694,0.000694,0.000694
96,35236,0.19662,0.79831,0.97339,0.8369,0.8323,0.89247,0.86405,0.26387,0.59112,0.34301,0.000595,0.000595,0.000595
97,35601.1,0.19744,0.77697,0.97458,0.83341,0.8339,0.89485,0.86787,0.25926,0.58392,0.34211,0.000496,0.000496,0.000496
98,35966.1,0.19478,0.77244,0.97539,0.83474,0.83815,0.89646,0.86831,0.25681,0.57857,0.34274,0.000397,0.000397,0.000397
99,36330.6,0.19377,0.7674,0.97089,0.8321,0.83753,0.89833,0.87028,0.25471,0.57474,0.34348,0.000298,0.000298,0.000298
100,36695.2,0.19207,0.75746,0.9722,0.83569,0.83644,0.89903,0.87162,0.25359,0.57135,0.34459,0.000199,0.000199,0.000199
