epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.23847,1.77102,3.85859,1.91495,0.01144,0.34063,0.01908,0.00858,1.81646,3.70157,1.96834,6.363e-05,6.363e-05,6.363e-05
2,11.9469,1.51486,3.81664,1.70706,0.01301,0.4256,0.0351,0.01842,1.55217,3.63819,1.70894,0.00013185,0.00013185,0.00013185
3,18.6022,1.33507,3.68344,1.58098,0.01903,0.4766,0.0274,0.01408,1.64873,3.60418,1.70019,0.000195271,0.000195271,0.000195271
4,25.2711,1.30603,3.61612,1.55299,0.01415,0.4092,0.05905,0.02956,1.80295,3.60151,1.84662,0.000253893,0.000253893,0.000253893
5,31.8754,1.19158,3.52485,1.48609,0.0194,0.50403,0.1154,0.07709,1.70152,3.55674,1.78297,0.000307715,0.000307715,0.000307715
6,38.5148,1.2808,3.55343,1.5441,0.01819,0.54735,0.14725,0.08188,1.63852,3.5547,1.73023,0.000356737,0.000356737,0.000356737
7,45.1173,1.11639,3.42819,1.3681,0.01555,0.54427,0.12947,0.08495,1.70016,3.56243,1.77894,0.00040096,0.00040096,0.00040096
8,51.391,1.0874,3.25666,1.3911,0.01489,0.54126,0.13087,0.08072,1.83402,3.55044,1.87556,0.000440383,0.000440383,0.000440383
9,57.8167,1.3078,3.35503,1.53249,0.01361,0.50115,0.1543,0.08507,1.86419,3.53294,1.8474,0.000475007,0.000475007,0.000475007
10,64.2036,1.21685,3.16962,1.45481,0.01302,0.52274,0.14732,0.08444,1.89732,3.5194,1.87864,0.000504831,0.000504831,0.000504831
11,70.6531,1.22385,3.16592,1.46382,0.01236,0.52947,0.13144,0.07902,1.94771,3.51686,1.90325,0.000529856,0.000529856,0.000529856
12,76.5171,1.23242,3.13383,1.46166,0.01108,0.51967,0.16234,0.10421,1.8594,3.47594,1.8783,0.000550081,0.000550081,0.000550081
13,82.9468,1.12583,2.88209,1.38341,0.01145,0.55676,0.1724,0.1137,1.87544,3.42506,1.85254,0.000549036,0.000549036,0.000549036
14,89.5253,1.19367,2.9864,1.41427,0.90399,0.07474,0.19544,0.12447,1.86622,3.39078,1.8087,0.000519039,0.000519039,0.000519039
15,95.6641,1.16469,2.81473,1.41773,0.01156,0.58855,0.13741,0.06661,1.8498,3.38779,1.79805,0.000489042,0.000489042,0.000489042
16,101.656,1.14574,2.77914,1.39755,0.42204,0.02941,0.08496,0.05899,1.85014,3.37696,1.82363,0.000459045,0.000459045,0.000459045
17,107.637,1.17017,2.85763,1.42454,0.44034,0.05232,0.10132,0.06908,1.8278,3.38599,1.82449,0.000429048,0.000429048,0.000429048
18,113.711,1.19138,2.83537,1.3887,0.47947,0.08923,0.08635,0.06066,1.83934,3.36997,1.83073,0.000399051,0.000399051,0.000399051
19,119.573,1.16679,2.70794,1.39397,0.46583,0.10458,0.10731,0.08097,1.77531,3.37017,1.78186,0.000369054,0.000369054,0.000369054
20,125.702,1.18545,2.56393,1.40183,0.44582,0.10458,0.12471,0.1008,1.73736,3.34251,1.77466,0.000339057,0.000339057,0.000339057
21,132.652,1.22303,2.77124,1.44284,0.45875,0.13718,0.12461,0.1002,1.76951,3.36213,1.80884,0.00030906,0.00030906,0.00030906
22,139.282,1.22111,2.73889,1.49474,0.28982,0.20588,0.16015,0.12841,1.75532,3.36032,1.81111,0.000279063,0.000279063,0.000279063
23,145.876,1.18404,2.64682,1.44182,0.27039,0.19608,0.15431,0.12626,1.72876,3.3516,1.80242,0.000249066,0.000249066,0.000249066
24,152.429,1.1017,2.52074,1.4063,0.47143,0.19608,0.16327,0.13815,1.66558,3.32148,1.7792,0.000219069,0.000219069,0.000219069
25,158.959,1.16848,2.60452,1.4331,0.46756,0.18627,0.17482,0.15056,1.62661,3.30637,1.73635,0.000189072,0.000189072,0.000189072
26,165.685,1.1356,2.50531,1.40114,0.4738,0.18627,0.17421,0.14955,1.61717,3.3307,1.74102,0.000159075,0.000159075,0.000159075
27,172.182,1.16799,2.55106,1.42088,0.47383,0.18627,0.17795,0.15106,1.6206,3.34908,1.74905,0.000129078,0.000129078,0.000129078
28,178.7,1.09038,2.50969,1.38384,0.47883,0.17634,0.17365,0.14891,1.62652,3.33842,1.74323,9.9081e-05,9.9081e-05,9.9081e-05
29,185.169,1.11387,2.58479,1.37911,0.47468,0.18627,0.17496,0.14963,1.61357,3.34252,1.72559,6.9084e-05,6.9084e-05,6.9084e-05
30,191.679,1.05625,2.44306,1.36699,0.46466,0.18627,0.17442,0.14894,1.60577,3.3386,1.7213,3.9087e-05,3.9087e-05,3.9087e-05
